keys,en,es
root/alicia/name,Alicia,Alicia
root/alicia/description,Main character,Personaje principal
demo_tecnico/ing_frogelio/name,Engineer Frogelio,Ing. Frogelio
demo_tecnico/ing_frogelio/description,A hard working engineer,Un ingeniero muy chambeador
demo_tecnico/lobuki/name,Wolfuki,Lobuki
demo_tecnico/lobuki/description,An unemployed wolf with a menthol cigarette,Un lobo desempleado con un cigarro mentolado
demo_tecnico/malena/name,Malena,Malena
demo_tecnico/malena/description,A weird bunny,Un conejo raro
demo_tecnico/miu_miu/name,Miu Miu,Miu Miu
demo_tecnico/miu_miu/description,A blue type of grass people,Un tipo de pasto azul
demo_tecnico/proto_shaman/name,Proto Shaman,Proto Chamán
demo_tecnico/proto_shaman/description,A shaman addicted to card games,Un chamán adicto a los juegos de cartas
demo_tecnico/ranastacio/name,Frogdelic,Ranastacio
demo_tecnico/ranastacio/description,A frog with a lot of attitude,Rana con mucha actitud
demo_tecnico/sabia_rana_pedro/name,Wise Frog Pedro,Rana sabia Pedro
demo_tecnico/sabia_rana_pedro/description,A frog with a lot of knowledge,Rana con mucho conocimiento
