keys,en,es
Character/81/name,Ruben Trees,Rubén Arboledas
Character/81/nicknames,,
Character/82/name,Evil Boss,Jefe Malvado
Character/82/nicknames,,
Character/83/name,Salvación,Salvación
Character/83/nicknames,,
Character/84/name,Lalien,Lalien
Character/84/nicknames,,
Character/85/name,Lobuki,Lobuki
Character/85/nicknames,,
Character/86/name,Gum and Candy,Chicles y Más
Character/86/nicknames,,
Character/87/name,Rigo,Rigo
Character/87/nicknames,,
Character/88/name,Frog Pedro,Sabia Rana Pedro
Character/88/nicknames,,
Character/89/name,Salome,Salomé
Character/89/nicknames,,
