keys,en,es
Text/11/text,pinches batos jaja
Choice/12/text,jaja si
Choice/12/disabled_text,
Text/13/text,"ash pero ya fue, x..."
Text/14/text,¿Qué me ves?
Text/15/text,"sí, me llamo Lila... ¿cómo supiste?"
Choice/16/text,jaja por?
Choice/16/disabled_text,
Text/17/text,no tengo ganas de hablar de eso realmente
Text/18/text,igual gracias por preguntar
Text/19/text,me llamo Lila mucho gusto
Text/1a/text,nmms ya reaccionó ese wey?
Text/1b/text,"que pinche coraje, no le voy a dirigir la palabra hasta que no se le baje tantito la peda"
Text/1c/text,gracias ya cortamos
