keys,en,es
Text/2d/text,ASJDacm shh shh...
Text/2e/text,que pdo y mi mourrit?
Text/2f/text,aiudame a buscarlaw por faabwaa jajaja
Choice/30/text,"mmm si te ayudo, como venia vestida?"
Choice/30/disabled_text,
Text/31/text,"a guevo, traia un vesitod negro y tieen muy bnoitas onrisa"
Text/32/text,se llama lila
Choice/33/text,"nel, ando haciendo otras cosas"
Choice/33/disabled_text,
Text/34/text,"su nmbre es lila, traia un vesitod negro y tieen muy bnoitas onrisa"
Text/35/text,bwaaa *vomita*
Text/36/text,nmmms a huevo con esto ya me aliviano
Text/37/text,"muchas gracias we, oye y supiste algo de mi morrita?"
Text/38/text,"a huevo si, te paso mi contacto"
Text/39/text,"Gracias we, por tu culpa ya me cortaron"
